year,nace_r2_code,nace_r2_name,valCOMP,valEMP,valEMPE,valGO_CP,valGO_PI,valGO_PYP,valGO_Q,valH_EMP,valH_EMPE,valII_CP,valII_PI,valII_PYP,valII_Q,valVA_CP,valVA_PI,valVA_PYP,valVA_Q
1996,C20-C21,Chemicals; basic pharmaceutical products,59013,66.06999999999999,66.06999999999999,410552,23.50001086182,337674,1747028.97974833,,,274679,34.8393009207627,222083,788417.082836192,135873,9.68418318153827,115591,1403040.37473212
1996,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,25497,36.94,36.94,146409,26.0750589407024,120496,561490.581221506,,,77874,35.7435911631877,63146,217868.427502053,68535,18.246115776155,57350,375614.190114727
1996,C22-C23,Manufacture of rubber and plastic products and other non-metallic mineral products,65160,64.95,61.76,340557,41.8218897177442,285642,814303.232824767,,,229068,44.4145158095767,193447,515750.303306488,111489,35.6095675353014,92195,313087.205817582
1996,C24-C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",90340,93.31999999999999,87.92,497896,35.8312634686889,440717,1389557.47523412,,,360997,40.7300207313511,318614,886316.759770588,136899,24.994195071581,122103,547723.179754075
1996,C26,"Manufacture of computer, electronic and optical products",27380,45.64,44.19,269405,141.779278604933,248535,190017.189148419,,,205210,129.81424462834,188686,158079.724291829,64195,194.972333338272,59849,32925.1842560776
1996,C26-C27,"Computer, electronic, optical products; electrical equipment",73392,97.73999999999999,94.76000000000001,496790,107.943868281329,445512,460229.939791709,,,358419,106.473209220528,323188,336628.343058244,138371,103.080959153402,122324,134235.266276559
1996,C27,Manufacture of electrical equipment,46012,52.1,50.57,227385,49.0506668702359,196977,463571.679059022,,,153209,55.0807322646262,134502,278153.527923218,74176,34.3507929398738,62475,215936.791123962
1996,C28,Manufacture of machinery and equipment n.e.c.,52217,55.33,51.8,191272,45.2414015477593,161734,422780.889752239,,,117926,46.0982152474717,102289,255814.676049671,73346,45.1638493942823,59445,162399.79758963
1996,C29-C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",43911,47.16,47.16,494377,52.9404961190438,457565,933835.2230177959,,,402605,53.2736722056915,372716,755729.769191672,91772,50.7397311530647,84849,180868.124277511
1996,C31-C33,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",37134,63.87,53.53,137532,36.844909746533,116880,373272.728705602,,,80499,37.7928926814664,70297,213000.366705131,57033,36.3467582543951,46583,156913.581125501
1996,D,"Electricity, gas, steam and air conditioning supply",96063,60.49,60.49,485332,20.5427674191012,396417,2362544.39384211,97082,97082,324048,25.4343564441117,263250,1274056.21884732,161284,15.0651581606149,133167,1070576.2148694
1996,D-E,"Electricity, gas, steam; water supply, sewerage, waste management",139778,113.02,111.9,596967,21.7588420822137,485647,2743560.51551097,189457,186449,378154,26.2424288801567,308828,1441002.28575238,218813,16.8188845461126,176819,1300995.90968757
1996,E,"Water supply; sewerage, waste management and remediation activities",43715,52.53,51.41,111635,26.6255677694048,89230,419277.444022353,92375,89367,54106,30.6473728048961,45578,176543.680740413,57529,22.7875412078187,43652,252458.128217278
1996,F,Construction,153115,223.27,182.78,754577,28.7616786872638,619063,2623549.92629182,424364,335408,475792,33.0785638558163,389951,1438369.57999112,278785,22.3685053577567,229112,1246328.24384633
1996,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,328570,501.99,390.91,1279537,32.2124837769726,1037343,3972177.39823804,955723,693555,734668,35.8791750647786,617663,2047616.75449222,544869,27.7215114142481,419680,1965509.71502929
1996,G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,26832,57.59,46.14,140407,51.0780089732954,114604,274887.378780578,,,77582,46.9459059723959,65064,165258.286943313,62825,56.9915198202502,49540,110235.698570855
1996,G46,"Wholesale trade, except of motor vehicles and motorcycles",167640,63.99,58.55,661205,27.1323526313385,545068,2436961.54544406,,,430309,31.4475035924522,362052,1368340.72928854,230896,21.6257990074518,183016,1067687.71836101
1996,G47,"Retail trade, except of motor vehicles and motorcycles",134098,380.41,286.22,477925,35.3841158243967,377671,1350676.67755733,,,226777,39.5179769940279,190547,573857.816745708,251148,31.2138657175981,187124,804603.961176155
1996,H,Transportation and storage,233280,304.74,263.61,710974,31.0322148254505,587771,2291083.64968171,532376,435082,356597,37.3111315969503,292706,955738.9034781971,354377,25.2020637005512,295065,1406142.78342709
1996,H49,Land transport and transport via pipelines,88113,205.1,165.23,467144,28.2929279410458,400898,1651098.1153078,,,220966,34.512130428797,187580,640256.041150172,246178,21.8427061252125,213318,1127048.99561801
1996,H50,Water transport,2900,4.37,4.37,33437,23.5834710619055,11890,141781.504140037,,,22120,32.2243132657786,8464,68643.8212586856,11317,8.87439723645854,3426,127524.154018107
1996,H51,Air transport,9770,7.82,7.82,50904,33.3491610414148,43814,152639.521986129,,,43664,40.347599173627,37483,108219.574136497,7240,22.150469539165,6331,32685.5373751726
1996,H52,Warehousing and support activities for transportation,92129,34.5,33.41,101251,34.4635741704617,83253,293791.350540714,,,55710,40.9649174516203,47167,135994.415381878,45541,25.9975282097265,36086,175174.345932479
1996,H53,Postal and courier activities,40368,52.95,52.78,58238,46.1545805542739,47916,126180.325550824,,,14137,51.5819771081053,12012,27406.8595129103,44101,43.7929050144881,35904,100703.527170463
1996,I,Accommodation and food service activities,65387,118.68,95.79000000000001,318569,24.0488230879325,261563,1324676.05102828,230056,176238,181517,28.4283279863389,151126,638507.4777778951,137052,18.4021660432108,110437,744760.15311558
1996,J,Information and communication,96863,67.62,64.19,463608,55.5087964617452,389509,835197.355286748,123861,115932,223432,55.211459394684,191023,404684.104440668,240176,55.3186573984382,198486,434168.165489101
1996,J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",27101,27.34,26.03,142093,41.9884990907479,121139,338409.333691353,,,94123,61.2191769565107,80459,153747.574990862,47970,24.5028936664457,40680,195772.795870596
1996,J61,Telecommunications,46122,25.77,25.57,245686,94.5347445109182,202359,259889.632400313,,,93377,60.1598172416911,78769,155214.899714305,152309,128.237841355894,123590,118770.714158625
1996,J62-J63,"Computer programming, consultancy, and information service activities",23640,14.51,12.59,75829,40.8047041899402,66011,185833.965728624,,,35932,45.5347665773987,31795,78911.1325275464,39897,37.8798964368877,34216,105324.99756559
1996,K,Financial and insurance activities,121847,89.92,85.81999999999999,478174,24.4384495454954,341844,1956646.22303397,159770,150649,163660,37.7284007041546,130790,433784.62098972,314514,16.5303329912644,211054,1902647.69721341
1996,L,Real estate activities,74207,62.28,61.14,623059,21.2226556102245,489626,2935820.15108338,112096,109575,160385,38.7594711490109,127141,413795.635609679,462674,16.6812664632142,362485,2773614.34768934
1996,L68A,Imputed rents of owner-occupied dwellings,0,,,442827,22.1133420880574,346695,2002533.12338145,,,60489,25.1222714867704,41344,240778.386746812,382338,21.3945598997799,305351,1787080.4624681
1996,M,"Professional, scientific and technical activities",141161,68.25,53.01,456192,31.780928392503,380049,1435426.91505391,131629,99394,210478,39.3568703699499,176192,534793.539276705,245714,26.9029654870837,203857,913334.257214018
1996,M-N,"Professional, scientific and technical activities; administrative and support service activities",219468,114.51,95.09999999999999,725375,30.9629243811734,604022,2342721.22061266,216844,175620,329569,37.723012428834,276315,873655.0417911221,395806,26.4729050084746,327707,1495136.25298505
1996,MARKT,"Market economy (all industries excluding L, O, P, Q, T and U)",2348051,2972.57,2534.91,11685810,37.8218156419162,9686910,30897009.5741494,5918802,4411658,7136553,43.7886367682085,5954277,16297728.1932223,4549257,29.4967440781373,3732633,15422912.399921
1996,MARKTxAG,Non-agricultural market economy (Market economy less industry A),2207562,2631.19,2294.64,10373120,37.7131458972585,8619127,27505316.1257334,4681277,3910747,6352330,44.6529288984427,5333443,14226009.7080027,4020790,28.193970019425,3285684,14261170.0205035
1996,N,Administrative and support service activities,78307,46.26,42.09,269183,29.7068080280476,223973,906132.357760726,85215,76226,119091,35.425997077798,100123,336168.378658384,150092,25.7122764575306,123850,583736.72299265
1996,O,Public administration and defence; compulsory social security,302600,308.17,308.17,719554,24.8624349412205,600499,2894141.30877028,563451,563451,216272,35.9991644899526,177690,600769.498582007,503282,21.4542671486329,422809,2345836.36212467
1996,O-Q,"Public administration, defence, education, human health and social work activities",738041,864.99,854.93,1567993,24.2051689864611,1327412,6477926.2680506,1565384,1545679,477869,34.9752629539416,392614,1366305.66760655,1090124,20.5686747804738,934798,5299923.3622716
1996,P,Education,230461,317.57,313.67,397542,23.0590373316491,348075,1724018.19851501,571456,563807,84903,31.3450909304281,69465,270865.381084541,312639,20.977544432685,278610,1490350.7939322
1996,Q,Human health and social work activities,204980,239.26,233.1,450897,24.2936728655046,378838,1856026.47444983,430477,418421,176694,35.9942246553088,145459,490895.419173696,274203,18.1617034372553,233379,1509786.79366344
1996,Q86,Human health activities,157642,159.23,153.07,368397,24.1588156807673,309397,1524896.77005682,,,150988,37.8956061436483,124526,398431.415577996,217409,16.7950478473906,184871,1294482.76644105
1996,Q87-Q88,Residential care activities and social work activities without accommodation,47338,80.03,80.03,82500,24.3851659227369,69441,338320.437356862,,,25706,28.774497931322,20933,89336.0504894097,56794,22.2035657507859,48508,255787.744353584
1996,R,"Arts, entertainment and recreation",59786,56.27,49.78,183238,34.2440000102136,151487,535095.19899938,100425,88051,94233,31.7941491472947,77982,296384.720230886,89005,36.830529205873,73505,241660.931621388
1996,R-S,"Arts, entertainment, recreation; other services and service activities, etc.",101597,152.11,108.61,398683,30.3837548193999,330491,1312158.42929802,285602,193370,174576,32.1463225686576,145218,543066.783539994,224107,28.9152398087636,185273,775048.042078067
1996,S,Other service activities,41811,95.84,58.83,215445,27.4771127515402,179004,784088.9322984749,185177,105319,80343,32.387162252683,67236,248070.514400638,135102,24.4006653697074,111768,553681.622828714
1996,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,898,4.54,4.54,898,18.1850264868807,750,4938.12863372977,7677,7677,0,,0,,898,18.1850264868807,750,4938.12863372977
1996,TOT,Total - all NACE activities,3161197,3904.39,3455.53,13877760,35.0865321752619,11504698,39552954.1952985,7603959,6074589,7774807,43.1331433047765,6474032,18025134.2802995,6102953,26.4873557866966,5030666,23041005.1088045
1996,TOT_IND,Total industries (A-S),3160299,3899.85,3450.99,13876862,35.0883552720282,11503948,39548339.8763417,7596282,6066912,7774807,43.1331433047765,6474032,18025134.2802995,6102055,26.4890881475916,5029916,23036108.174055
1996,U,Activities of extraterritorial organisations and bodies,0,0,0,0,,,,,,0,,,,0,,0,
1997,A,"Agriculture, forestry and fishing",167720,328.18,224.38,1378239,40.3567028675742,1218558,3415142.71996533,1193525,463817,802951,34.1557043063648,708042,2350854.75854285,575288,42.6698946884232,510516,1348229.24734352
1997,B,Mining and quarrying,27377,26.59,26.59,76889,51.5470569668363,64157,149162.735031542,46513,46513,42407,44.0980076207642,37172,96165.3423544516,34482,63.4458260065097,26985,54348.7289399653
1997,C,Manufacturing,927179,932.54,881.4400000000001,6191768,54.5128206821403,5347765,11358370.2375331,1589453,1474596,4448476,60.8697651321628,3880968,7308186.56904835,1743292,38.1284908428419,1466797,4572150.5400922
1997,C10-C12,Manufacture of food products; beverages and tobacco products,169057,167.81,161.04,1328464,39.4985191636383,1094527,3363326.08950809,,,1084048,44.9209878047929,924808,2413232.77375556,244416,21.4896936760282,169719,1137363.81581207
1997,C13-C15,"Manufacture of textiles, wearing apparel, leather and related products",99936,178.92,167.78,313381,51.3744715883292,268390,609993.621951318,,,161648,58.3083605420337,140770,277229.540493546,151733,41.6933162533668,127620,363926.436261225
1997,C16-C18,"Manufacture of wood, paper, printing and reproduction",63974,71.59,64.84999999999999,359124,52.2932307841602,324016,686750.4543413681,,,244109,56.0596182049733,220266,435445.348748993,115015,43.5144537494161,103750,264314.475053116
1997,C19,Manufacture of coke and refined petroleum products,40317,5.3,5.3,395848,21.7431764962669,320585,1820561.95914136,,,237191,24.9746997666227,203786,949725.130698039,158657,8.85766590550077,116799,1791182.93343477
1997,C20,Manufacture of chemicals and chemical products,42656,26.91,26.91,330355,26.2347811159704,272592,1259225.29538048,,,239984,40.1428628916236,206117,597824.825418908,90371,3.94020729330357,66475,2293559.53311357
1997,C20-C21,Chemicals; basic pharmaceutical products,81704,60.99,60.99,527256,28.463738923293,435309,1852377.86722575,,,339137,40.5494405805639,291380,836354.324854866,188119,12.657482897316,143929,1486227.566145
1997,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,39048,34.08,34.08,196901,31.5529734476621,162717,624033.105236835,,,99153,41.5664977141732,85263,238540.66484459,97748,23.0268459329098,77454,424495.826674634
1997,C22-C23,Manufacture of rubber and plastic products and other non-metallic mineral products,81527,67.87,64.48999999999999,424031,47.8528231169346,370590,886114.908965402,,,279877,51.291939101452,242350,545654.940918537,144154,40.028552701839,128240,360127.934361657
1997,C24-C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",120961,98.72,94.51000000000001,657494,40.7346442080511,578349,1614090.44508126,,,482163,47.0893254155168,417048,1023932.69758143,175331,27.1681962052025,161301,645353.849316008
1997,C26,"Manufacture of computer, electronic and optical products",48813,52.87,51.99,656341,149.763263435386,621351,438252.335682557,,,525839,142.094302774012,480395,370063.394333479,130502,180.512212643032,140956,72295.3854973078
1997,C26-C27,"Computer, electronic, optical products; electrical equipment",104524,105.33,102.9,935750,117.459773105659,859941,796655.719024984,,,709071,118.008232660648,639761,600865.705733472,226679,106.123574983804,220180,213599.099007543
1997,C27,Manufacture of electrical equipment,55711,52.46,50.91,279409,57.4424652313414,238590,486415.405179287,,,183232,63.3293973263556,159366,289331.665444011,96177,41.7014567880724,79224,230632.230640703
1997,C28,Manufacture of machinery and equipment n.e.c.,63912,58.73,54.4,237034,55.7970694642419,192192,424814.425338065,,,144520,54.5963045897531,122025,264706.560427396,92514,59.5477697901098,70167,155360.982159512
1997,C29-C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",58014,47.9,47.9,838265,59.1528253096457,750229,1417117.43371843,,,666519,60.209337191861,589741,1107002.71932258,171746,54.2990495651653,160488,316296.512324556
1997,C31-C33,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",43253,69.38,57.28,175121,41.9971584951711,153637,416982.97283645,,,100193,42.5301101438137,89033,235581.332052049,74928,42.1551282039086,64604,177743.499290444
