year,nace_r2_code,nace_r2_name,valI_CT,valI_Cult,valI_GFCF,valI_IT,valI_OCon,valI_OIPP,valI_OMach,valI_RD,valI_Rstruc,valI_Soft_DB,valI_TraEq,valIp_CT,valIp_Cult,valIp_GFCF,valIp_IT,valIp_OCon,valIp_OIPP,valIp_OMach,valIp_RD,valIp_Rstruc,valIp_Soft_DB,valIp_TraEq,valIpyp_CT,valIpyp_Cult,valIpyp_GFCF,valIpyp_IT,valIpyp_OCon,valIpyp_OIPP,valIpyp_OMach,valIpyp_RD,valIpyp_Rstruc,valIpyp_Soft_DB,valIpyp_TraEq,valIq_CT,valIq_Cult,valIq_GFCF,valIq_IT,valIq_OCon,valIq_OIPP,valIq_OMach,valIq_RD,valIq_Rstruc,valIq_Soft_DB,valIq_TraEq,valK_CT,valK_Cult,valK_GFCF,valK_IT,valK_OCon,valK_OIPP,valK_OMach,valK_RD,valK_Rstruc,valK_Soft_DB,valK_TraEq,valKpyp_CT,valKpyp_Cult,valKpyp_GFCF,valKpyp_IT,valKpyp_OCon,valKpyp_OIPP,valKpyp_OMach,valKpyp_RD,valKpyp_Rstruc,valKpyp_Soft_DB,valKpyp_TraEq,valKq_CT,valKq_Cult,valKq_GFCF,valKq_IT,valKq_OCon,valKq_OIPP,valKq_OMach,valKq_RD,valKq_Rstruc,valKq_Soft_DB,valKq_TraEq
1995,H51,Air transport,,0,1240,,324,0,299,0,0,229,388,,0,34.2995285718398,,15.9654485419706,0,,0,0,38.1114433006699,31.9849590018608,,0,0,,0,0,0,0,0,0,0,,0,3615.2100382454,,2029.38238251343,0,,0,0,600.869398184075,1213.07018082289,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,H52,Warehousing and support activities for transportation,,0,62922,,41193,0,7643,0,0,731,13352,,0,21.6118712846578,,15.5318921721776,0,,0,0,37.3704118351004,31.0988126729887,,0,0,,0,0,0,0,0,0,0,,0,291145.542980668,,265215.593459948,0,,0,0,1956.09297330088,42934.1150107544,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,H53,Postal and courier activities,,0,18774,,11183,0,6307,0,0,390,894,,0,30.5581745967723,,15.6651437644418,0,,0,0,37.3322981507106,60.3288095555265,,0,0,,0,0,0,0,0,0,0,,0,61436.9158096995,,71387.7904228636,0,,0,0,1044.67182391389,1481.87906671217,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,I,Accommodation and food service activities,,0,11837,,7236,0,4005,0,0,82,512,,0,27.7371585027312,,15.9707878975005,0,,0,0,37.3001062241794,44.6766134769364,,0,0,,0,0,0,0,0,0,0,,0,42675.604275883,,45307.7208616144,0,,0,0,219.838516027722,1146.01345123061,,0,181000,,147000,0,,0,0,0,1000,,0,,,,0,,,0,,,,0,990615.197005251,,915108.15970191,0,,,0,,3788.62092391304
1995,J,Information and communication,,0,128779,,39242,16989,59694,718,0,9429,2707,,0,30.9031051436039,,15.8969971671795,12.5156550666899,,12.5134106682454,0,37.2100314199081,60.2659493058405,,0,0,,0,0,0,,0,0,0,,0,416718.641707932,,246851.651210066,135741.996,,5737.84413406992,0,25339.9409788063,4491.75700570548,,0,1269000,,591000,25000,,2000,0,14000,32000,,0,,,,0,,,0,,,,0,5116927.08831155,,3699402.45462533,90936.745,,13100.5188970471,0,39837.559309375,99481.3709796498
1995,J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",,0,21918,,748,16989,2169,159,0,1341,512,,0,16.4598550420818,,16.3036918775338,10.7242589017267,,12.5331634394556,0,37.6521101069627,41.8541580253647,,0,0,,0,0,0,,0,0,0,,0,133160.346454837,,4587.91791220449,158416.541,,1268.63421807341,0,3561.55337958608,1223.29542429145,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,J61,Telecommunications,,0,97746,,36488,0,54035,274,0,5241,1708,,0,37.5013831199204,,15.7734887636987,0,,12.5208188611789,0,37.0095634465651,78.0977117956996,,0,0,,0,0,0,,0,0,0,,0,260646.38652775,,231324.854929836,0,,2188.35527482587,0,14161.2045966633,2187.00389643689,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,J62-J63,"Computer programming, consultancy, and information service activities",,0,9115,,2006,0,3490,285,0,2847,487,,0,35.8907123908925,,15.9432264119568,0,,12.4915398189424,0,37.5829752812963,42.184823632203,,0,0,,0,0,0,,0,0,0,,0,25396.5424278204,,12582.1458478165,0,,2281.54418214975,0,7575.23846553163,1154.44360807576,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,K,Financial and insurance activities,,0,34251,,15791,0,13352,0,0,2986,2122,,0,36.2016143765073,,17.9395600377052,0,,0,0,38.0647528590998,46.4549926396234,,0,0,,0,0,0,0,0,0,0,,0,94611.8027880736,,88023.3404097458,0,,0,0,7844.52748466004,4567.8620949561,,0,322000,,165000,0,,0,0,22000,8000,,0,,,,0,,,0,,,,0,1404019.20240193,,1029471.07106396,0,,,0,71582.5566336061,23473.1246738686
1995,L,Real estate activities,,0,251775,,10181,0,7233,136,232198,144,1867,,0,17.7764299586097,,8.64447620767697,0,,12.4400039224085,18.3247338539138,36.9918845732586,38.6543714080806,,0,0,,0,0,0,,0,0,0,,0,1416341.75470681,,117774.631515076,0,,1093.24724371686,1267128.90812549,389.274571061182,4829.98411819913,,0,7177000,,348000,0,,0,6780000,0,6000,,0,,,,0,,,0,,,,0,44212947.6893239,,2164699.18922299,0,,,41967413.6417866,,20087.6639334753
