year,nace_r2_code,valShare_E111,valShare_E112,valShare_E121,valShare_E122,valShare_E131,valShare_E132,valShare_E211,valShare_E212,valShare_E221,valShare_E222,valShare_E231,valShare_E232,valShare_E311,valShare_E312,valShare_E321,valShare_E322,valShare_E331,valShare_E332,valShare_W111,valShare_W112,valShare_W121,valShare_W122,valShare_W131,valShare_W132,valShare_W211,valShare_W212,valShare_W221,valShare_W222,valShare_W231,valShare_W232,valShare_W311,valShare_W312,valShare_W321,valShare_W322,valShare_W331,valShare_W332
1998,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
