year,nace_r2_name,nace_r2_code,valueCAP,valueCAPEconComp_QI,valueCAPICT_QI,valueCAPInnovprop_QI,valueCAPIntang_QI,valueCAPNICT_QI,valueCAPTang_QI,valueCAP_QI,valueLAB,valueLAB_QI,valueLP1ConEconComp,valueLP1ConInnovprop,valueLP1ConIntang,valueLP1ConIntangNA,valueLP1ConIntangnonNA,valueLP1ConLC,valueLP1ConTFP,valueLP1ConTangICT,valueLP1ConTangNICT,valueLP1Con_Soft_DB,valueLP1TFP_I,valueLP1_G,valueLP2ConEconComp,valueLP2ConIntang,valueLP2ConIntangNA,valueLP2ConIntangnonNA,valueLP2ConLC,valueLP2ConTFP,valueLP2ConTangICT,valueLP2ConTangNICT,valueLP2Con_Soft_DB,valueLP2TFP_I,valueLP2_G,valueVAConEconComp,valueVAConH,valueVAConInnovprop,valueVAConIntang,valueVAConIntangNA,valueVAConIntangnonNA,valueVAConLC,valueVAConTFP,valueVAConTangICT,valueVAConTangNICT,valueVACon_Soft_DB,valueVATFP_I,valueVAadj_G
1995,"Retail trade, except of motor vehicles and motorcycles",G47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Telecommunications,J61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Total - all NACE activities,TOT,2049490,46.372986,14.242206,36.007545,38.973667,80.252464,79.530983,76.535934,3240014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Total industries (A-S),TOT_IND,2049070.5,46.389935,11.796203,35.969326,38.964569,82.280022,83.294998,79.402397,3239728.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Transportation and storage,H,88721.813,59.171989,17.336676,77.785217,52.689091,88.33477,88.095749,41.649887,240555.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Warehousing and support activities for transportation,H52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Water supply; sewerage, waste management and remediation activities",E,11181.632,63.876518,16.841753,58.246742,53.799217,105.82857,105.69238,104.3612,41532.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Water transport,H50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Wholesale and retail trade and repair of motor vehicles and motorcycles,G45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Wholesale and retail trade; repair of motor vehicles and motorcycles,G,108765.66,40.275204,11.634813,38.20565,36.267597,54.859131,62.383152,29.383862,353902.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Wholesale trade, except of motor vehicles and motorcycles",G46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Accommodation and food service activities,I,55892.578,37.714386,5.2864561,49.871681,35.153088,65.415092,65.415092,62.890919,85354.305,,.18672848,.010416507,.20437762,.0072326255,.19714502,,,,1.7883035,,,.37642998,.16868056,.18406591,.0066990214,.1773669,,,,1.3982064,,,-.66071981,.14422028,-1.4320618,.0063413884,.15653749,.0059758294,.15056168,,,,.86950892,,,-2.0663655
1996,Activities of extraterritorial organisations and bodies,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T,0,,,,,,,,898,,,,,,,,,,,,,-20.258823,,,,,,,,,,,-18.129107,,26.446363,,,,,,,,,,,6.1875401
